Bound Tightness Summary (Median [Min, Max])
Spiked_rho0.5   | n=400 d=1000 s=5  | H2 U/E: 1.000175571453939 [1.0001373173772725, 1.0002289632910852] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.00004634686743 [0.9999999999999998, 1.0003933509480984]
Spiked_rho0.8   | n=400 d=1000 s=5  | H2 U/E: 1.0009361669266372 [1.0007241843011738, 1.0012017244024154] | Hinf U/E: 1.0             [0.9999999999999993, 1.0000000000000004] | H1 U/E: 1.000206368895886 [0.9999999999999983, 1.000856935125342]
Gaussian        | n=400 d=1000 s=10 | H2 U/E: 1.0005278816904857 [1.0004523378091852, 1.0007552771548924] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0001973931340071 [0.9999999999999994, 1.0008606931796802]
Spiked_rho0.5   | n=400 d=1000 s=10 | H2 U/E: 1.0004122406408675 [1.0003235496333691, 1.0004953127531337] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0003162049663141 [0.9999999999999998, 1.0007918306066965]
Spiked_rho0.8   | n=400 d=1000 s=10 | H2 U/E: 1.0021773710313635 [1.0015426841433606, 1.0027799320508315] | Hinf U/E: 0.9999999999999999 [0.999999999999999, 1.0000000000000009] | H1 U/E: 1.0007993989898814 [0.9999999999999976, 1.0018654165687737]
Gaussian        | n=400 d=1000 s=20 | H2 U/E: 1.0006157797639617 [1.000516494936698, 1.0009355122249792] | Hinf U/E: 1.0             [0.9999999999999999, 1.0000000000000002] | H1 U/E: 1.0006405136144494 [1.0000000000000002, 1.001224785463761]
Spiked_rho0.5   | n=400 d=1000 s=20 | H2 U/E: 1.0009911845247226 [1.0007862466463253, 1.0013849911923576] | Hinf U/E: 0.9999999999999999 [0.9999999999999994, 1.0000000000000004] | H1 U/E: 1.0008786675830925 [0.9999999999999996, 1.0029400731701168]
Spiked_rho0.8   | n=400 d=1000 s=20 | H2 U/E: 1.0059262875436406 [1.0040971838064816, 1.0079261697033868] | Hinf U/E: 0.9999999999999998 [0.9999999999999978, 1.0000000000000022] | H1 U/E: 1.0023611038767037 [1.000000000000003, 1.0047885265798344]
Gaussian        | n=400 d=1000 s=40 | H2 U/E: 1.000804350615085 [1.0006593837798672, 1.0012120617834646] | Hinf U/E: 1.0             [0.9999999999999996, 1.0            ] | H1 U/E: 1.000815360985607 [0.9999999999999998, 1.002708464649848]
Spiked_rho0.5   | n=400 d=1000 s=40 | H2 U/E: 1.0026945612717961 [1.0023265905152579, 1.0038579340968277] | Hinf U/E: 0.9999999999999999 [0.9999999999999992, 1.0000000000000007] | H1 U/E: 1.0017286873304032 [0.9999999999999994, 1.0043527159291514]
Spiked_rho0.8   | n=400 d=1000 s=40 | H2 U/E: 1.0171421582397808 [1.013125269073714, 1.0264138165174141] | Hinf U/E: 0.9999999999999998 [0.9999999999999963, 1.000000000000005] | H1 U/E: 1.0054716239192816 [1.000000000000006, 1.0112702430531042]
Gaussian        | n=400 d=2000 s=5  | H2 U/E: 1.0001577981245742 [1.0001340617537242, 1.0002955407520844] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.000080883141221 [0.9999999999999997, 1.0002223301424633]
Spiked_rho0.5   | n=400 d=2000 s=5  | H2 U/E: 1.0000938839895976 [1.000079523795517, 1.0001464679489231] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.00007354025267 [0.9999999999999996, 1.0002425282020053]
Spiked_rho0.8   | n=400 d=2000 s=5  | H2 U/E: 1.0004449238240647 [1.0003304245611717, 1.0005475037827092] | Hinf U/E: 1.0             [0.9999999999999993, 1.0000000000000007] | H1 U/E: 1.0001538614362493 [0.9999999999999988, 1.0005285991449109]
Gaussian        | n=400 d=2000 s=10 | H2 U/E: 1.000175459220304 [1.00013547397226, 1.0002853223797128] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.000131697564926 [0.9999999999999998, 1.0004469935905784]
Spiked_rho0.5   | n=400 d=2000 s=10 | H2 U/E: 1.0001995508027073 [1.000144112408451, 1.0002243621755398] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0001708082575163 [0.9999999999999991, 1.0005060758792594]
Spiked_rho0.8   | n=400 d=2000 s=10 | H2 U/E: 1.0010317204948156 [1.0008646075139078, 1.0014347417432548] | Hinf U/E: 1.0             [0.999999999999999, 1.0000000000000013] | H1 U/E: 1.0004186339344008 [1.0000000000000007, 1.001210799573791]
