Design,n,d,s,MC_Successes,H2_Upper/Exact_Median,H2_Upper/Exact_Min,H2_Upper/Exact_Max,H2_Upper/Lower_Median,H2_Upper/Lower_Min,H2_Upper/Lower_Max,H1_Upper/Exact_Median,H1_Upper/Exact_Min,H1_Upper/Exact_Max,Hinf_Upper/Exact_Median,Hinf_Upper/Exact_Min,Hinf_Upper/Exact_Max
Spiked_rho0.5,400,2000,5,30,1.0000938839895976,1.000079523795517,1.0001464679489231,1.0018596871910814,1.0017053629562578,1.001986029056106,1.00007354025267,0.9999999999999996,1.0002425282020053,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,400,2000,5,30,1.0004449238240647,1.0003304245611717,1.0005475037827092,1.0018135152693475,1.001678028472677,1.0019304173168377,1.0001538614362493,0.9999999999999988,1.0005285991449109,1.0,0.9999999999999993,1.0000000000000007
Gaussian,400,2000,10,30,1.000175459220304,1.00013547397226,1.0002853223797128,1.0747272541769832,1.0664331679476355,1.081519955685748,1.000131697564926,0.9999999999999998,1.0004469935905784,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,400,2000,10,30,1.0001995508027073,1.000144112408451,1.0002243621755398,1.0031269790364423,1.0030486214737682,1.0032538432793419,1.0001708082575163,0.9999999999999991,1.0005060758792594,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,400,2000,10,30,1.0010317204948156,1.0008646075139078,1.0014347417432548,1.0036368860750309,1.0034141935873975,1.004014791747447,1.0004186339344008,1.0000000000000007,1.001210799573791,1.0,0.999999999999999,1.0000000000000013
Gaussian,400,2000,20,30,1.0002073954593511,1.000155477025847,1.0003100823403457,1.0635519116610732,1.056819500244884,1.0684902950036617,1.0001831753125625,0.9999999999999996,1.0004597936104744,1.0,0.9999999999999999,1.0000000000000002
Spiked_rho0.5,400,2000,20,30,1.0004791999844693,1.0003738697862417,1.000673230998035,1.0057751681139746,1.005547660075483,1.0060305967838779,1.0003780814367178,0.9999999999999989,1.0009608000926682,1.0,0.9999999999999994,1.0000000000000004
Spiked_rho0.8,400,2000,20,30,1.0027688503992338,1.002178486409116,1.0037790858835034,1.0077934734598912,1.007221779375459,1.0088715700401558,1.0012331762507567,1.0000000000000009,1.00281451303152,0.9999999999999999,0.9999999999999971,1.0000000000000022
Gaussian,400,2000,40,30,1.0002363070250508,1.000179165942237,1.0003854685447415,1.0493556096589682,1.0430449597013138,1.0542246422501675,1.000178347125958,0.9999999999999993,1.0009287948182983,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,400,2000,40,30,1.0013867250707267,1.001195939507868,1.002015965185332,1.0110078332110155,1.0103623339292727,1.0115941491742166,1.0010809492203971,0.9999999999999994,1.0021896559733874,1.0,0.9999999999999991,1.0000000000000007
