lambda1,lambda2,exact_recovery,TP,FP,FN,conditional_bias,iterations,lambda1_ratio,lambda2_ratio
2.135685978865261,0.0018873918221350976,0,1,0,9,0.7876017329967444,5000,51.1502643990284,0.04520355130957429
2.1928429894326307,0.0018873918221350976,0,1,0,9,0.8173457444734862,5000,52.51919046386701,0.04520355130957429
2.25,0.0018873918221350976,0,1,0,9,0.847089755950229,5000,53.888116528705616,0.04520355130957429
0.020876587872591997,0.002592943797404667,0,10,14,0,0.013554821604122708,5000,0.5,0.062101714447523174
0.07803359843996144,0.002592943797404667,1,10,0,0,0.04126570019018422,5000,1.8689260648386057,0.062101714447523174
0.13519060900733088,0.002592943797404667,1,10,0,0,0.07163975300894497,5000,3.2378521296772114,0.062101714447523174
0.1923476195747003,0.002592943797404667,1,10,0,0,0.10201380582770565,5000,4.606778194515817,0.062101714447523174
0.24950463014206975,0.002592943797404667,1,10,0,0,0.1323878586464664,5000,5.975704259354422,0.062101714447523174
0.3066616407094392,0.002592943797404667,1,10,0,0,0.16276191146522717,5000,7.3446303241930275,0.062101714447523174
0.3638186512768086,0.002592943797404667,1,10,0,0,0.1931359642839879,5000,8.713556389031634,0.062101714447523174
0.42097566184417806,0.002592943797404667,1,10,0,0,0.22351001710274873,5000,10.08248245387024,0.062101714447523174
0.4781326724115475,0.002592943797404667,1,10,0,0,0.25388406992150947,5000,11.451408518708844,0.062101714447523174
0.5352896829789169,0.002592943797404667,1,10,0,0,0.28425812274027,5000,12.82033458354745,0.062101714447523174
0.5924466935462863,0.002592943797404667,1,10,0,0,0.3146321755590309,5000,14.189260648386055,0.062101714447523174
0.6496037041136558,0.002592943797404667,1,10,0,0,0.3450062283777916,5000,15.558186713224659,0.062101714447523174
0.7067607146810252,0.002592943797404667,1,10,0,0,0.37538028119655237,5000,16.927112778063265,0.062101714447523174
0.7639177252483946,0.002592943797404667,1,10,0,0,0.40575433401531313,5000,18.296038842901872,0.062101714447523174
0.8210747358157641,0.002592943797404667,1,10,0,0,0.4361283868340739,5000,19.664964907740476,0.062101714447523174
0.8782317463831335,0.002592943797404667,1,10,0,0,0.4665024396528346,5000,21.033890972579083,0.062101714447523174
0.9353887569505029,0.002592943797404667,1,10,0,0,0.4968764924715955,5000,22.402817037417687,0.062101714447523174
0.9925457675178724,0.002592943797404667,1,10,0,0,0.5272505452903562,5000,23.771743102256295,0.062101714447523174
1.049702778085242,0.002592943797404667,1,10,0,0,0.5576245981091172,5000,25.140669167094902,0.062101714447523174
1.1068597886526115,0.002592943797404667,1,10,0,0,0.5879986509278778,5000,26.50959523193351,0.062101714447523174
1.1640167992199808,0.002592943797404667,1,10,0,0,0.6183727037466386,5000,27.878521296772114,0.062101714447523174
1.2211738097873501,0.002592943797404667,1,10,0,0,0.6487467565653994,5000,29.247447361610714,0.062101714447523174
1.2783308203547197,0.002592943797404667,1,10,0,0,0.6791208093841601,5000,30.616373426449325,0.062101714447523174
1.3354878309220892,0.002592943797404667,1,10,0,0,0.709494862202921,5000,31.985299491287932,0.062101714447523174
1.3926448414894586,0.002592943797404667,1,10,0,0,0.7398689150216817,5000,33.354225556126536,0.062101714447523174
1.4498018520568279,0.002592943797404667,1,10,0,0,0.7702429678404423,5000,34.72315162096514,0.062101714447523174
1.5069588626241974,0.002592943797404667,1,10,0,0,0.8006170206592034,5000,36.092077685803744,0.062101714447523174
1.564115873191567,0.002592943797404667,0,9,0,1,0.8115081211762664,5000,37.461003750642355,0.062101714447523174
1.6212728837589363,0.002592943797404667,0,8,0,2,0.8177690116646391,5000,38.82992981548096,0.062101714447523174
1.6784298943263056,0.002592943797404667,0,7,0,3,0.8235625292959733,5000,40.19885588031956,0.062101714447523174
1.7355869048936752,0.002592943797404667,0,6,0,4,0.8257866792992377,5000,41.56778194515817,0.062101714447523174
1.7927439154610447,0.002592943797404667,0,6,0,4,0.8541208378620865,5000,42.93670800999678,0.062101714447523174
1.849900926028414,0.002592943797404667,0,6,0,4,0.8824549964249351,5000,44.30563407483538,0.062101714447523174
1.9070579365957834,0.002592943797404667,0,5,0,5,0.8864174347538892,5000,45.67456013967398,0.062101714447523174
1.964214947163153,0.002592943797404667,0,4,0,6,0.8890621881943809,5000,47.04348620451259,0.062101714447523174
2.0213719577305223,0.002592943797404667,0,3,0,7,0.8842770174025097,5000,48.412412269351194,0.062101714447523174
2.0785289682978916,0.002592943797404667,0,2,0,8,0.8704250624967604,5000,49.7813383341898,0.062101714447523174
2.135685978865261,0.002592943797404667,0,1,0,9,0.7877512034451006,5000,51.1502643990284,0.062101714447523174
2.1928429894326307,0.002592943797404667,0,1,0,9,0.8174742832504405,5000,52.51919046386701,0.062101714447523174
2.25,0.002592943797404667,0,1,0,9,0.8471973630557803,5000,53.888116528705616,0.062101714447523174
0.020876587872591997,0.003562247890262444,0,10,15,0,0.014321420769900724,5000,0.5,0.0853168130731548
0.07803359843996144,0.003562247890262444,1,10,0,0,0.04212314503512734,5000,1.8689260648386057,0.0853168130731548
0.13519060900733088,0.003562247890262444,1,10,0,0,0.07246917743990289,5000,3.2378521296772114,0.0853168130731548
0.1923476195747003,0.003562247890262444,1,10,0,0,0.10281520984467848,5000,4.606778194515817,0.0853168130731548
0.24950463014206975,0.003562247890262444,1,10,0,0,0.13316124224945425,5000,5.975704259354422,0.0853168130731548
0.3066616407094392,0.003562247890262444,1,10,0,0,0.16350727465422982,5000,7.3446303241930275,0.0853168130731548
0.3638186512768086,0.003562247890262444,1,10,0,0,0.1938533070590054,5000,8.713556389031634,0.0853168130731548
0.42097566184417806,0.003562247890262444,1,10,0,0,0.22419933946378096,5000,10.08248245387024,0.0853168130731548
0.4781326724115475,0.003562247890262444,1,10,0,0,0.2545453718685565,5000,11.451408518708844,0.0853168130731548
0.5352896829789169,0.003562247890262444,1,10,0,0,0.28489140427333204,5000,12.82033458354745,0.0853168130731548
0.5924466935462863,0.003562247890262444,1,10,0,0,0.3152374366781077,5000,14.189260648386055,0.0853168130731548
0.6496037041136558,0.003562247890262444,1,10,0,0,0.34558346908288345,5000,15.558186713224659,0.0853168130731548
0.7067607146810252,0.003562247890262444,1,10,0,0,0.375929501487659,5000,16.927112778063265,0.0853168130731548
0.7639177252483946,0.003562247890262444,1,10,0,0,0.40627553389243454,5000,18.296038842901872,0.0853168130731548
0.8210747358157641,0.003562247890262444,1,10,0,0,0.43662156629721,5000,19.664964907740476,0.0853168130731548
0.8782317463831335,0.003562247890262444,1,10,0,0,0.46696759870198556,5000,21.033890972579083,0.0853168130731548
0.9353887569505029,0.003562247890262444,1,10,0,0,0.49731363110676136,5000,22.402817037417687,0.0853168130731548
0.9925457675178724,0.003562247890262444,1,10,0,0,0.527659663511537,5000,23.771743102256295,0.0853168130731548
1.049702778085242,0.003562247890262444,1,10,0,0,0.5580056959163125,5000,25.140669167094902,0.0853168130731548
1.1068597886526115,0.003562247890262444,1,10,0,0,0.5883517283210881,5000,26.50959523193351,0.0853168130731548
1.1640167992199808,0.003562247890262444,1,10,0,0,0.6186977607258638,5000,27.878521296772114,0.0853168130731548
1.2211738097873501,0.003562247890262444,1,10,0,0,0.6490437931306393,5000,29.247447361610714,0.0853168130731548
1.2783308203547197,0.003562247890262444,1,10,0,0,0.679389825535415,5000,30.616373426449325,0.0853168130731548
1.3354878309220892,0.003562247890262444,1,10,0,0,0.7097358579401905,5000,31.985299491287932,0.0853168130731548
1.3926448414894586,0.003562247890262444,1,10,0,0,0.7400818903449661,5000,33.354225556126536,0.0853168130731548
1.4498018520568279,0.003562247890262444,1,10,0,0,0.7704279227497417,5000,34.72315162096514,0.0853168130731548
1.5069588626241974,0.003562247890262444,1,10,0,0,0.8007739551545174,5000,36.092077685803744,0.0853168130731548
1.564115873191567,0.003562247890262444,0,9,0,1,0.8116608173810861,5000,37.461003750642355,0.0853168130731548
1.6212728837589363,0.003562247890262444,0,8,0,2,0.8179093433384291,5000,38.82992981548096,0.0853168130731548
1.6784298943263056,0.003562247890262444,0,7,0,3,0.8236989340456887,5000,40.19885588031956,0.0853168130731548
